"Notes"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Endocrine gland, unspecified - Malignant neoplasms"	"C75.9"	4	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Head, face and neck - Malignant neoplasms"	"C76.0"	52	83256835	0.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Thorax - Malignant neoplasms"	"C76.1"	7	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Abdomen - Malignant neoplasms"	"C76.2"	37	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Pelvis - Malignant neoplasms"	"C76.3"	17	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Upper limb - Malignant neoplasms"	"C76.4"	2	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Lower limb - Malignant neoplasms"	"C76.5"	4	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Other ill-defined sites - Malignant neoplasms"	"C76.7"	14	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Intra-abdominal lymph nodes - Malignant neoplasms"	"C77.2"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Lymph node, unspecified - Malignant neoplasms"	"C77.9"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	16	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Secondary malignant neoplasm of mediastinum - Malignant neoplasms"	"C78.1"	3	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Secondary malignant neoplasm of pleura - Malignant neoplasms"	"C78.2"	7	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Secondary malignant neoplasm of large intestine and rectum - Malignant neoplasms"	"C78.5"	2	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms"	"C78.6"	59	83256835	0.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	133	83256835	0.2
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Secondary malignant neoplasm of other and unspecified digestive organs - Malignant neoplasms"	"C78.8"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Secondary malignant neoplasm of kidney and renal pelvis - Malignant neoplasms"	"C79.0"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Secondary malignant neoplasm of bladder and other and unspecified urinary organs - Malignant neoplasms"	"C79.1"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Secondary malignant neoplasm of skin - Malignant neoplasms"	"C79.2"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	68	83256835	0.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Secondary malignant neoplasm of other and unspecified parts of nervous system - Malignant neoplasms"	"C79.4"	4	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	37	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Secondary malignant neoplasm of ovary - Malignant neoplasms"	"C79.6"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	297	83256835	0.4
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant neoplasm without specification of site"	"C80"	2157	83256835	2.6
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Hodgkin lymphocytic predominance"	"C81.0"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Hodgkin nodular sclerosis"	"C81.1"	4	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Hodgkin disease, unspecified"	"C81.9"	155	83256835	0.2
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Non-Hodgkin lymphoma mixed small cleaved and large cell, follicular"	"C82.1"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Non-Hodgkin lymphoma large cell, follicular"	"C82.2"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Follicular non-Hodgkin lymphoma, unspecified"	"C82.9"	34	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Non-Hodgkin lymphoma small cell (diffuse)"	"C83.0"	8	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Non-Hodgkin lymphoma small cleaved cell (diffuse)"	"C83.1"	49	83256835	0.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Non-Hodgkin lymphoma mixed small and large cell (diffuse)"	"C83.2"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	253	83256835	0.3
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Non-Hodgkin lymphoma immunoblastic (diffuse)"	"C83.4"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Non-Hodgkin lymphoma lymphoblastic (diffuse)"	"C83.5"	23	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Burkitt tumor"	"C83.7"	30	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Other types of diffuse non-Hodgkin lymphoma"	"C83.8"	2	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Diffuse non-Hodgkin lymphoma, unspecified"	"C83.9"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Mycosis fungoides - Malignant neoplasms"	"C84.0"	7	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"STzary disease"	"C84.1"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Peripheral T-cell lymphoma - Malignant neoplasms"	"C84.4"	31	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Other and unspecified T-cell lymphomas - Malignant neoplasms"	"C84.5"	151	83256835	0.2
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"B-cell lymphoma, unspecified - Malignant neoplasms"	"C85.1"	144	83256835	0.2
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Other specified types of non-Hodgkin lymphoma"	"C85.7"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	575	83256835	0.7
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Waldenstr÷m macroglobulinemia"	"C88.0"	4	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	646	83256835	0.8
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Plasma cell leukaemia - Malignant neoplasms"	"C90.1"	21	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Plasmacytoma, extramedullary - Malignant neoplasms"	"C90.2"	6	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	287	83256835	0.3
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	75	83256835	0.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Prolymphocytic leukaemia - Malignant neoplasms"	"C91.3"	6	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Hairy-cell leukaemia - Malignant neoplasms"	"C91.4"	6	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Adult T-cell leukaemia - Malignant neoplasms"	"C91.5"	18	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Other lymphoid leukaemia - Malignant neoplasms"	"C91.7"	9	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Lymphoid leukaemia, unspecified - Malignant neoplasms"	"C91.9"	7	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	834	83256835	1.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	114	83256835	0.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Myeloid sarcoma - Malignant neoplasms"	"C92.3"	10	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Acute promyelocytic leukaemia - Malignant neoplasms"	"C92.4"	32	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Acute myelomonocytic leukaemia - Malignant neoplasms"	"C92.5"	8	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Other myeloid leukaemia - Malignant neoplasms"	"C92.7"	14	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Myeloid leukaemia, unspecified - Malignant neoplasms"	"C92.9"	28	83256835	0.0
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Acute monocytic leukaemia - Malignant neoplasms"	"C93.0"	6	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Mast cell leukaemia - Malignant neoplasms"	"C94.3"	2	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Acute panmyelosis - Malignant neoplasms"	"C94.4"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Other specified leukaemias - Malignant neoplasms"	"C94.7"	3	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	99	83256835	0.1
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Chronic leukaemia of unspecified cell type - Malignant neoplasms"	"C95.1"	8	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	126	83256835	0.2
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant histiocytosis - Malignant neoplasms"	"C96.1"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant mast cell tumour - Malignant neoplasms"	"C96.2"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified - Malignant neoplasms"	"C96.9"	5	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	263	83256835	0.3
"Total"	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"			52194	83256835	62.7
	"Neoplasms"	"C00-D48"	"In situ neoplasms"	"D00-D09"	"Colon - In situ neoplasms"	"D01.0"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"In situ neoplasms"	"D00-D09"	"Other specified digestive organs - In situ neoplasms"	"D01.7"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"In situ neoplasms"	"D00-D09"	"Bronchus and lung - In situ neoplasms"	"D02.2"	1	83256835	Unreliable
"Total"	"Neoplasms"	"C00-D48"	"In situ neoplasms"	"D00-D09"			3	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Appendix - Benign neoplasms"	"D12.1"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Colon, unspecified - Benign neoplasms"	"D12.6"	3	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Other and unspecified parts of small intestine - Benign neoplasms"	"D13.3"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Liver - Benign neoplasms"	"D13.4"	3	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Pancreas - Benign neoplasms"	"D13.6"	2	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Trachea - Benign neoplasms"	"D14.2"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Thymus - Benign neoplasms"	"D15.0"	6	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Heart - Benign neoplasms"	"D15.1"	4	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Benign lipomatous neoplasm of other sites - Benign neoplasms"	"D17.7"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Haemangioma, any site - Benign neoplasms"	"D18.0"	6	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Connective and other soft tissue of head, face and neck - Benign neoplasms"	"D21.0"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Connective and other soft tissue, unspecified - Benign neoplasms"	"D21.9"	6	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Skin of scalp and neck - Benign neoplasms"	"D23.4"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Skin of lower limb, including hip - Benign neoplasms"	"D23.7"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Leiomyoma of uterus, unspecified - Benign neoplasms"	"D25.9"	20	83256835	0.0
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Benign neoplasm of ovary"	"D27"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Cerebral meninges - Benign neoplasms"	"D32.0"	16	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Meninges, unspecified - Benign neoplasms"	"D32.9"	42	83256835	0.1
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Brain, supratentorial - Benign neoplasms"	"D33.0"	2	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Brain, unspecified - Benign neoplasms"	"D33.2"	9	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Cranial nerves - Benign neoplasms"	"D33.3"	10	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Adrenal gland - Benign neoplasms"	"D35.0"	11	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Pituitary gland - Benign neoplasms"	"D35.2"	13	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Peripheral nerves and autonomic nervous system - Benign neoplasms"	"D36.1"	4	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	"Other specified sites - Benign neoplasms"	"D36.7"	1	83256835	Unreliable
"Total"	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"			166	83256835	0.2
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Lip, oral cavity and pharynx - Uncertain neoplasms"	"D37.0"	6	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Stomach - Uncertain neoplasms"	"D37.1"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Small intestine - Uncertain neoplasms"	"D37.2"	5	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Appendix - Uncertain neoplasms"	"D37.3"	2	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Colon - Uncertain neoplasms"	"D37.4"	8	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Rectum - Uncertain neoplasms"	"D37.5"	9	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Liver, gallbladder and bile ducts - Uncertain neoplasms"	"D37.6"	13	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Other digestive organs - Uncertain neoplasms"	"D37.7"	28	83256835	0.0
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Digestive organ, unspecified - Uncertain neoplasms"	"D37.9"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Larynx - Uncertain neoplasms"	"D38.0"	4	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Trachea, bronchus and lung - Uncertain neoplasms"	"D38.1"	21	83256835	0.0
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Mediastinum - Uncertain neoplasms"	"D38.3"	2	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Uterus - Uncertain neoplasms"	"D39.0"	7	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Ovary - Uncertain neoplasms"	"D39.1"	3	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Placenta - Uncertain neoplasms"	"D39.2"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Other female genital organs - Uncertain neoplasms"	"D39.7"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Female genital organ, unspecified - Uncertain neoplasms"	"D39.9"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Prostate - Uncertain neoplasms"	"D40.0"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Testis - Uncertain neoplasms"	"D40.1"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Kidney - Uncertain neoplasms"	"D41.0"	6	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Bladder - Uncertain neoplasms"	"D41.4"	4	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Cerebral meninges - Uncertain neoplasms"	"D42.0"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Spinal meninges - Uncertain neoplasms"	"D42.1"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Meninges, unspecified - Uncertain neoplasms"	"D42.9"	4	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Brain, supratentorial - Uncertain neoplasms"	"D43.0"	11	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Brain, infratentorial - Uncertain neoplasms"	"D43.1"	7	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	215	83256835	0.3
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Spinal cord - Uncertain neoplasms"	"D43.4"	2	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Thyroid gland - Uncertain neoplasms"	"D44.0"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Adrenal gland - Uncertain neoplasms"	"D44.1"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Pituitary gland - Uncertain neoplasms"	"D44.3"	4	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Craniopharyngeal duct - Uncertain neoplasms"	"D44.4"	12	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Carotid body - Uncertain neoplasms"	"D44.6"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Aortic body and other paraganglia - Uncertain neoplasms"	"D44.7"	4	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Endocrine gland, unspecified - Uncertain neoplasms"	"D44.9"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Polycythaemia vera"	"D45"	14	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Refractory anaemia, unspecified - Uncertain neoplasms"	"D46.4"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	95	83256835	0.1
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Histiocytic and mast cell tumours of uncertain and unknown behaviour - Uncertain neoplasms"	"D47.0"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	30	83256835	0.0
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Monoclonal gammopathy - Uncertain neoplasms"	"D47.2"	3	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Essential (haemorrhagic) thrombocythaemia - Uncertain neoplasms"	"D47.3"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified - Uncertain neoplasms"	"D47.9"	10	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Bone and articular cartilage - Uncertain neoplasms"	"D48.0"	2	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Connective and other soft tissue - Uncertain neoplasms"	"D48.1"	44	83256835	0.1
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Retroperitoneum - Uncertain neoplasms"	"D48.3"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Peritoneum - Uncertain neoplasms"	"D48.4"	1	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Breast - Uncertain neoplasms"	"D48.6"	5	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Other specified sites - Uncertain neoplasms"	"D48.7"	7	83256835	Unreliable
	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	47	83256835	0.1
"Total"	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"			652	83256835	0.8
"Total"	"Neoplasms"	"C00-D48"					53015	83256835	63.7
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Nutritional anaemias"	"D50-D53"	"Iron deficiency anaemia secondary to blood loss (chronic)"	"D50.0"	4	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Nutritional anaemias"	"D50-D53"	"Other iron deficiency anaemias"	"D50.8"	3	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Nutritional anaemias"	"D50-D53"	"Iron deficiency anaemia, unspecified"	"D50.9"	2	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Nutritional anaemias"	"D50-D53"	"Vitamin B12 deficiency anaemia due to intrinsic factor deficiency"	"D51.0"	4	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Nutritional anaemias"	"D50-D53"	"Protein deficiency anaemia"	"D53.0"	2	83256835	Unreliable
"Total"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Nutritional anaemias"	"D50-D53"			15	83256835	Unreliable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	"Beta thalassaemia"	"D56.1"	2	83256835	Unreliable
